func_id: 100
=====================================

10	5252	LIP	10	2	800	1
11	5253	系统节点编号	3	2	8	1
12	5254	真实营业部代码	3	2	8	1

0	121	资金帐号	10	2	16	0
1	5540	市值额度	6	2	12	0
2	1227	参数	10	2	80	1
3	125	帐号类别	10	2	2	1
4	101	交易所名称	10	2	12	0
5	1213	保留信息	10	2	80	1

func_id: 4258
=====================================



func_id: 100
=====================================

0	120	客户号	10	2	16	0
1	134	交易密码	10	2	12	1
2	121	资金帐号	10	2	16	0
3	125	帐号类别	10	2	2	1
4	123	股东代码	10	2	12	0
5	1206	客户类别	1	2	1	0
6	1210	认证方式	1	2	1	0
7	1211	认证信息	1	2	512	0
8	122	客户名称	10	2	24	0
9	454	证件号码	10	2	24	0
10	455	移动电话	10	2	24	0
11	128	用户联系方式	10	2	40	0
12	129	用户EMAIL	10	2	40	0
13	188	上海股东	10	2	12	0
14	189	深圳股东	10	2	12	0
15	138	通讯密码	10	2	12	1
16	1117	银行代码	10	2	4	0
17	1118	银行营业部	10	2	40	0
18	1119	银行股东代码登录市场	10	2	2	0
19	1234	柜台类别	10	2	1	1
20	1214	断线重联标志	1	2	1	1
21	1230	查询模式	1	2	1	0
22	1216	VIP标志	1	2	1	1
23	1235	机器信息	10	2	800	0
24	1243	受限模式	1	2	1	0
25	1248	SESSION信息	10	2	128	0
26	1257	重定向标志	1	2	1	0
27	1258	重定向信息	10	2	512	0
28	1292	手机机器信息	10	2	256	1
29	1297	登录输入参数	10	2	256	1
30	1244	机器特征码	10	2	64	0
31	1300	客户端内部版本	10	2	256	1
32	1301	版本字符串	10	2	256	1
33	1203	客户端版本	5	2	8	0
34	1251	内部客户端版本	10	2	32	0
35	1303	重连信息	10	2	256	1

0	120	客户号	10	2	16	0
1	122	客户名称	10	2	24	0
2	1212	营业部ID	1	2	10	0
3	110	委托方式	10	2	8	0
4	125	帐号类别	10	2	2	1
5	411	开放式基金标识	1	2	1	1
6	281	融资融券标识	1	2	1	1
7	149	返回信息	10	2	80	0
8	1218	客户权限	10	2	512	1
9	1213	保留信息	10	2	80	1

func_id: 112
=====================================

0	120	客户号	10	2	16	0
1	134	交易密码	10	2	12	1
2	121	资金帐号	10	2	16	0
3	125	帐号类别	10	2	2	1
4	123	股东代码	10	2	12	0
5	110	委托方式	10	2	8	0
6	1117	银行代码	10	2	4	0
7	1118	银行营业部	10	2	40	0
8	1119	银行股东代码登录市场	10	2	2	0
9	1234	柜台类别	10	2	1	1
10	138	通讯密码	10	2	12	1
11	1230	查询模式	1	2	1	0
12	102	营业部代码	10	2	4	0
13	1235	机器信息	10	2	800	0
14	1244	机器特征码	10	2	64	0
15	1292	手机机器信息	10	2	256	1

0	5250	CPU	10	2	800	1
1	5251	HD	10	2	800	1
2	5252	LIP	10	2	800	1
3	5253	系统节点编号	3	2	8	1
4	5254	真实营业部代码	3	2	8	1
